listing_id,price,nbhood_full,description,room_type,host_name,last_review,borough,neighborhood
39267,99,"Manhattan, Upper East Side",CENTRAL PARK LOFT all for YOU,entire home/apt,Marie,June 08 2019,Manhattan,Upper East Side
39282,69,"Brooklyn, Williamsburg",Indie-Chic Share In Williamsburg,private room,Gus,May 28 2019,Brooklyn,Williamsburg
39593,79,"Queens, Sunnyside","A room w/ a Manhattan view, longer stay",private room,Myung,April 12 2019,Queens,Sunnyside
39704,135,"Brooklyn, Bedford-Stuyvesant","Private, Large & Sunny 1BR w/W&D",entire home/apt,Renée,June 22 2019,Brooklyn,Bedford-Stuyvesant
41348,250,"Brooklyn, Gowanus",* Spacious GARDEN Park Slope Duplex* 6 people max,entire home/apt,Syl,July 06 2019,Brooklyn,Gowanus
42580,70,"Brooklyn, Clinton Hill",Parlor Room In Victorian Townhouse,private room,Waldemar,June 24 2019,Brooklyn,Clinton Hill
42729,165,"Brooklyn, Carroll Gardens",House On Henry (2nd FLR Suite),entire home/apt,Annette,June 18 2019,Brooklyn,Carroll Gardens
42882,70,"Staten Island, St. George",New York room with a view,private room,Newyorkroomwithaview,June 13 2019,Staten Island,St. George
43957,50,"Brooklyn, Bushwick",Sunny cozy room in Brklyn townhouse,private room,Tessa,June 19 2019,Brooklyn,Bushwick
44096,40,"Bronx, Highbridge",Room with a View,private room,Waundell,July 04 2019,Bronx,Highbridge
44212,125,"Manhattan, East Village",West Inn 2 - East Village,private room,Bruce,June 23 2019,Manhattan,East Village
44221,196,"Manhattan, Financial District",Financial District Luxury Loft,entire home/apt,Coral,June 20 2019,Manhattan,Financial District
44229,110,"Brooklyn, Fort Greene",BROOKLYN VICTORIAN STYLE SUITE.....,private room,Carol,June 24 2019,Brooklyn,Fort Greene
44288,170,"Manhattan, West Village",Your own Lovely West Village Studio,entire home/apt,Sara,June 01 2019,Manhattan,West Village
44506,165,"Manhattan, Harlem",ACCOMMODATIONS GALORE#3. 1-5 GUESTS,entire home/apt,Laurine,May 26 2019,Manhattan,Harlem
45556,65,"Brooklyn, Fort Greene","Fort Greene, Brooklyn: Center Bedroom",private room,Doug,June 30 2019,Brooklyn,Fort Greene
45910,350,"Queens, Ridgewood",Beautiful Queens Brownstone! - 5BR,entire home/apt,Mark,May 12 2019,Queens,Ridgewood
45936,99,"Manhattan, Morningside Heights",Couldn't Be Closer To Columbia Uni,private room,Rahul,May 14 2019,Manhattan,Morningside Heights
45940,200,"Brooklyn, Williamsburg",Bright Spacious Luxury Condo,entire home/apt,Miyoung,April 08 2019,Brooklyn,Williamsburg
46544,150,"Brooklyn, Park Slope",Park Slope haven 15 mins from Soho,entire home/apt,Monica,June 05 2019,Brooklyn,Park Slope
46723,90,"Brooklyn, Bedford-Stuyvesant",SAFE  AND BEAUTIFUL ACCOMODATION,private room,Marylyn,May 19 2019,Brooklyn,Bedford-Stuyvesant
46911,120,"Brooklyn, Prospect Heights",Large Room in private Brownstone in Park Slope,private room,Kathleen R.,June 24 2019,Brooklyn,Prospect Heights
47199,75,"Manhattan, Upper East Side","NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",private room,Teresa,June 24 2019,Manhattan,Upper East Side
47926,275,"Manhattan, Hell's Kitchen",LUX APT IN TIMES SQUARE NEW BUILDING,entire home/apt,Claudia,June 26 2019,Manhattan,Hell's Kitchen
48719,299,"Manhattan, Lower East Side",Designer 1 BR Duplex w/ Terrace- Spectacular Views,entire home/apt,Shane,June 15 2019,Manhattan,Lower East Side
50447,135,"Brooklyn, South Slope",Lovely Apt & Garden;  Legal;  Best Area; Amenities,entire home/apt,Laurie,June 22 2019,Brooklyn,South Slope
51485,83,"Manhattan, Lower East Side",Lower East Side $57~/night,private room,Erina,June 22 2019,Manhattan,Lower East Side
51572,123,"Manhattan, Chelsea",Prime Location in Manhattan,private room,Lee,June 18 2019,Manhattan,Chelsea
51850,55,"Queens, Jamaica",( F) Excellent/Pvt Rm,private room,Jullett,May 20 2019,Queens,Jamaica
53137,195,"Manhattan, Hell's Kitchen","Quiet, sunny Midtown Manhattan apt.",entire home/apt,Marlaine,July 01 2019,Manhattan,Hell's Kitchen
53477,265,"Queens, Middle Village",3 floors of luxury!,entire home/apt,Mark,April 27 2019,Queens,Middle Village
54158,249,"Brooklyn, Williamsburg",The Institute‚ÄîHeart of Williamsburg,entire home/apt,Bob,June 20 2019,Brooklyn,Williamsburg
54508,100,"Brooklyn, Prospect Heights",Sml Rm in pr Brst  Park Sl great for Med/students,private room,Kathleen R.,June 06 2019,Brooklyn,Prospect Heights
54544,121,"Manhattan, Harlem",City Room - Private Penthouse Apt.,entire home/apt,Wayne,June 22 2019,Manhattan,Harlem
54626,45,"Bronx, Highbridge",Cozy bedroom by Yankee Stadium,private room,Waundell,June 30 2019,Bronx,Highbridge
54860,100,"Manhattan, East Harlem",Great apartment with private bathroom and entrance,private room,Jenny,June 23 2019,Manhattan,East Harlem
55467,140,"Brooklyn, Williamsburg",Private Garden Apt ‚Ä¢ New Renovation,entire home/apt,Paul,July 02 2019,Brooklyn,Williamsburg
55498,71,"Brooklyn, Bedford-Stuyvesant",Modern comfort in art infused landmark Brownstone,private room,Tami,July 01 2019,Brooklyn,Bedford-Stuyvesant
55737,199,"Manhattan, West Village",Sleek & Comfortable Soho Apt,entire home/apt,Pete,May 19 2019,Manhattan,West Village
55959,69,"Brooklyn, Williamsburg",Spacious Williamsburg Share w/ LOFT BED,private room,Gus,June 10 2019,Brooklyn,Williamsburg
56467,130,"Manhattan, East Village",Cozy East Village Railroad 1 Bed!,entire home/apt,Leonardo,July 01 2019,Manhattan,East Village
56525,195,"Brooklyn, Greenpoint",1 Bedroom Loft w/ Private Roof Deck,entire home/apt,Alex,June 13 2019,Brooklyn,Greenpoint
56859,64,"Manhattan, Harlem",City Room - Private & Comfy Bedroom,private room,Wayne,June 03 2019,Manhattan,Harlem
57166,140,"Queens, Ditmars Steinway",Elegant NYC Pad,entire home/apt,Vasili,June 17 2019,Queens,Ditmars Steinway
57297,159,"Brooklyn, Cobble Hill","Clean & bright 1BR in Cobble Hill, GREAT location!",entire home/apt,S.M.,June 24 2019,Brooklyn,Cobble Hill
57468,189,"Manhattan, East Village","Modern, Large East Village Loft",entire home/apt,Ori,June 23 2019,Manhattan,East Village
57618,250,"Manhattan, Hell's Kitchen","Great new apt, close to everything",entire home/apt,Ana,June 09 2019,Manhattan,Hell's Kitchen
57740,239,"Manhattan, East Village",Quiet & Clean Retreat in the City,entire home/apt,I,May 24 2019,Manhattan,East Village
57754,305,"Manhattan, Flatiron District",Stylish Large Gramercy Loft!,entire home/apt,R,June 30 2019,Manhattan,Flatiron District
57874,155,"Manhattan, Harlem",The Brownstone-Luxury 1 Bd Apt/NYC,entire home/apt,Simon,June 26 2019,Manhattan,Harlem
58059,60,"Manhattan, Harlem",PRIVATE Room on Historic Sugar Hill,private room,Agnes,July 03 2019,Manhattan,Harlem
58062,135,"Brooklyn, Windsor Terrace",South Slope Green,private room,Linda,May 17 2019,Brooklyn,Windsor Terrace
58467,120,"Manhattan, Roosevelt Island","17 Flr. Manhattan Views, Nr. Subway",private room,Dave,May 08 2019,Manhattan,Roosevelt Island
59014,150,"Manhattan, Lower East Side","Spacious 1BR, Adorable Clean Quiet",entire home/apt,Drica,January 02 2019,Manhattan,Lower East Side
59642,135,"Brooklyn, Greenpoint",Franklin St Flat in Trendy Greenpoint Brooklyn,entire home/apt,Betty,May 19 2019,Brooklyn,Greenpoint
59709,250,"Manhattan, Chinatown","Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",entire home/apt,Ricardo & Ashlie,July 01 2019,Manhattan,Chinatown
60164,500,"Manhattan, SoHo","Beautiful, elegant 3 bed SOHO loft",entire home/apt,Harrison,June 23 2019,Manhattan,SoHo
60457,225,"Manhattan, Greenwich Village",Spacious Greenwich Village Apt,entire home/apt,Jessica,May 11 2019,Manhattan,Greenwich Village
60666,92,"Manhattan, Harlem",City Room - Private Luxury Suite,private room,Wayne,June 11 2019,Manhattan,Harlem
60680,99,"Manhattan, East Village",The gem of the East Village,entire home/apt,Mich,June 20 2019,Manhattan,East Village
60948,140,"Manhattan, East Harlem",ACCOMMODATIONS GALORE #2,entire home/apt,Laurine,June 20 2019,Manhattan,East Harlem
61406,80,"Manhattan, Harlem",Great room in great location,private room,Bethania,June 01 2019,Manhattan,Harlem
61492,120,"Manhattan, Chinatown",Exclusive Room with Private Bath in  LES,private room,Tunji,June 23 2019,Manhattan,Chinatown
61509,110,"Manhattan, Midtown","Quiet, clean midtown apt w. elevato",entire home/apt,Anna/Fonzy,April 30 2019,Manhattan,Midtown
62095,65,"Brooklyn, East Flatbush",BK Sweet Suite w/Kitchen&FullBath,entire home/apt,Colette&Sean,June 14 2019,Brooklyn,East Flatbush
62427,130,"Manhattan, East Village",Great East Village Apartment Rental,entire home/apt,Brie,May 26 2019,Manhattan,East Village
62430,99,"Brooklyn, Bushwick",BROWNSTONE SUNDRENCHED BEAUTY,entire home/apt,Sheila,June 22 2019,Brooklyn,Bushwick
62452,36,"Staten Island, Tompkinsville",A SpeciaL!! Private Room in NY,private room,Lissette,June 25 2019,Staten Island,Tompkinsville
62461,37,"Staten Island, Tompkinsville",B NYC Staten Alternative...,private room,Lissette,June 10 2019,Staten Island,Tompkinsville
62787,37,"Staten Island, Tompkinsville",C Private Room By The Ferry,private room,Lissette,July 02 2019,Staten Island,Tompkinsville
62891,175,"Manhattan, East Village",Smallest House In The Village,entire home/apt,Olivia,May 24 2019,Manhattan,East Village
62903,205,"Manhattan, Chelsea",Beautiful modern studio apartment in heart of NYC,entire home/apt,Daniel,June 21 2019,Manhattan,Chelsea
62925,285,"Brooklyn, Greenpoint",Beautiful Landmarked Duplex,entire home/apt,Maya,June 16 2019,Brooklyn,Greenpoint
63299,59,"Brooklyn, Williamsburg",BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,private room,Scott,June 23 2019,Brooklyn,Williamsburg
63320,36,"Staten Island, Tompkinsville",D Private Che@p Room 2 Explore NYC,private room,Lissette,July 02 2019,Staten Island,Tompkinsville
63360,99,"Queens, Astoria",Safe cute near subway& Manhattan NY NY retro style,entire home/apt,Dennis & Naoko,June 24 2019,Queens,Astoria
63546,39,"Brooklyn, Kensington",Large and Cozy Private Bedroom,private room,Antonín,May 16 2019,Brooklyn,Kensington
63610,105,"Bronx, Eastchester",DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,entire home/apt,Vie,June 27 2019,Bronx,Eastchester
63657,135,"Brooklyn, Bedford-Stuyvesant","Private, Large & Sunny Top Floor Apt  w/W&D",entire home/apt,Renée,June 25 2019,Brooklyn,Bedford-Stuyvesant
63693,390,"Manhattan, East Village",Cottage in the Village,entire home/apt,Olivia,June 19 2019,Manhattan,East Village
64000,60,"Brooklyn, Williamsburg",Williamsburg near soho. / loftbed,private room,Kristian & Di,January 07 2019,Brooklyn,Williamsburg
64107,100,"Brooklyn, Crown Heights",BROOKLYN  STUDIO APARTMENT,private room,Niya,June 24 2019,Brooklyn,Crown Heights
64277,70,"Brooklyn, Bedford-Stuyvesant",BEDROOM2 FOR RENT  10min from Manh,private room,Helene,January 02 2019,Brooklyn,Bedford-Stuyvesant
64314,110,"Brooklyn, Crown Heights",cozy bedroom in lovely garden apt,private room,Debbie,May 26 2019,Brooklyn,Crown Heights
64365,60,"Brooklyn, Crown Heights",Crown Heights Garden Apt.,private room,Anthony,June 27 2019,Brooklyn,Crown Heights
64707,90,"Manhattan, Little Italy",Amazing  Sunny & Breezy Home In the Heart of  NYC,entire home/apt,Tilly,January 02 2019,Manhattan,Little Italy
64837,68,"Manhattan, East Village",ENJOY Downtown NYC!!,private room,Edward,June 23 2019,Manhattan,East Village
65019,115,"Manhattan, Upper West Side",Charming UWS Treehouse Apt,entire home/apt,Claire,July 06 2019,Manhattan,Upper West Side
65268,75,"Brooklyn, Bedford-Stuyvesant",Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,private room,Juhli,January 05 2019,Brooklyn,Bedford-Stuyvesant
65562,129,"Manhattan, East Village",CHARMING EAST VILLAGE 2 (or 1) BR,entire home/apt,Mary D,January 03 2019,Manhattan,East Village
65615,130,"Brooklyn, Williamsburg",Farmhouse Apartment in Williamsburg,entire home/apt,Valerie,June 29 2019,Brooklyn,Williamsburg
65660,95,"Brooklyn, Williamsburg",Bright+Spacious Williamsburg Abode!,entire home/apt,Larissa,July 07 2019,Brooklyn,Williamsburg
65813,75,"Manhattan, Harlem","Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",private room,Eric,January 02 2019,Manhattan,Harlem
